iter	Passed	Remaining
422	2140	2919
423	2141	2909
424	2144	2901
425	2146	2892
426	2148	2883
427	2150	2873
428	2152	2864
429	2154	2855
430	2155	2846
431	2157	2837
432	2159	2828
433	2161	2818
434	2163	2809
435	2165	2800
436	2166	2791
437	2168	2782
438	2170	2773
439	2172	2764
440	2201	2790
441	2203	2782
442	2205	2773
443	2207	2764
444	2209	2755
445	2211	2747
446	2213	2738
447	2215	2729
448	2217	2721
449	2219	2712
450	2232	2718
451	2234	2709
452	2247	2714
453	2249	2705
454	2251	2696
455	2253	2688
456	2255	2679
457	2256	2670
458	2258	2662
459	2260	2653
460	2262	2644
461	2264	2636
462	2265	2628
463	2267	2619
464	2269	2610
465	2271	2602
466	2273	2594
467	2275	2586
468	2277	2578
469	2279	2570
470	2294	2577
471	2310	2584
472	2312	2576
473	2326	2581
474	2328	2573
475	2329	2564
476	2331	2556
477	2333	2548
478	2335	2540
479	2337	2531
480	2338	2523
481	2341	2516
482	2357	2523
483	2360	2516
484	2362	2508
485	2364	2501
486	2367	2493
487	2369	2486
488	2373	2480
489	2377	2474
490	2380	2467
491	2382	2459
492	2384	2452
493	2386	2444
494	2387	2436
495	2389	2428
496	2410	2439
497	2413	2432
498	2415	2425
499	2417	2417
500	2420	2410
501	2422	2403
502	2424	2395
503	2426	2387
504	2428	2380
505	2429	2372
506	2431	2364
507	2433	2356
508	2435	2349
509	2437	2342
510	2440	2335
511	2444	2329
512	2446	2322
513	2449	2315
514	2451	2308
515	2453	2301
516	2456	2294
517	2459	2288
518	2461	2281
519	2463	2273
520	2465	2266
521	2466	2258
522	2468	2251
523	2470	2244
524	2472	2237
525	2485	2239
526	2488	2233
527	2490	2226
528	2492	2219
529	2494	2212
530	2497	2205
531	2499	2198
532	2501	2191
533	2503	2184
534	2505	2177
535	2516	2178
536	2519	2172
537	2521	2165
538	2524	2158
539	2526	2152
540	2529	2145
541	2531	2139
542	2533	2132
543	2536	2126
544	2578	2152
545	2580	2145
546	2582	2138
547	2584	2131
548	2587	2125
549	2589	2118
550	2592	2112
551	2594	2105
552	2596	2098
553	2598	2092
554	2601	2085
555	2605	2080
556	2607	2073
557	2609	2067
558	2611	2060
559	2613	2053
560	2625	2054
561	2627	2047
562	2629	2041
563	2632	2034
564	2636	2029
565	2638	2023
566	2640	2016
567	2654	2019
568	2657	2012
569	2659	2006
570	2661	1999
571	2664	1993
572	2667	1988
573	2672	1983
574	2673	1976
575	2685	1976
576	2687	1970
577	2689	1963
578	2692	1957
579	2694	1951
580	2696	1944
581	2699	1938
582	2701	1932
583	2704	1926
584	2706	1920
585	2708	1913
586	2710	1906
587	2711	1900
588	2713	1893
589	2715	1887
590	2717	1880
591	2720	1874
592	2722	1868
593	2724	1862
594	2727	1856
595	2729	1850
596	2732	1844
597	2736	1839
598	2738	1833
599	2740	1826
600	2742	1820
601	2744	1814
602	2745	1807
603	2761	1810
604	2764	1804
605	2768	1800
606	2770	1793
607	2772	1787
608	2776	1782
609	2793	1785
610	2795	1779
611	2798	1774
612	2800	1768
613	2802	1761
614	2804	1755
615	2823	1759
616	2825	1753
617	2827	1747
618	2829	1741
619	2832	1736
620	2838	1732
621	2840	1726
622	2842	1720
623	2845	1714
624	2847	1708
625	2849	1702
626	2852	1696
627	2854	1691
628	2856	1685
629	2870	1685
630	2872	1680
631	2875	1674
632	2877	1668
633	2880	1662
634	2882	1656
635	2884	1651
636	2886	1644
637	2888	1638
638	2890	1632
639	2891	1626
640	2893	1620
641	2896	1615
642	2898	1609
643	2901	1604
644	2904	1598
645	2906	1592
646	2908	1586
647	2910	1581
648	2912	1575
649	2914	1569
650	2916	1563
651	2918	1557
652	2920	1551
653	2921	1545
654	2924	1540
655	2926	1534
656	2930	1530
657	2933	1524
658	2937	1519
659	2939	1514
660	2941	1508
661	2943	1502
662	2945	1497
663	2963	1499
664	2965	1494
665	2967	1488
666	2969	1482
667	2971	1476
668	2973	1471
669	2975	1465
670	2978	1460
671	2981	1455
672	2983	1449
673	2985	1444
674	2987	1438
675	2996	1436
676	2999	1430
677	3001	1425
678	3003	1420
679	3006	1414
680	3008	1409
681	3011	1404
682	3012	1398
683	3014	1392
684	3016	1387
685	3018	1381
686	3020	1376
687	3022	1370
688	3025	1365
689	3031	1361
690	3033	1356
691	3035	1351
692	3037	1345
693	3041	1340
694	3043	1335
695	3046	1330
696	3048	1325
697	3051	1320
698	3053	1314
699	3055	1309
700	3057	1304
701	3059	1298
702	3062	1293
703	3064	1288
704	3067	1283
705	3069	1278
706	3071	1273
707	3074	1267
708	3076	1262
709	3087	1261
710	3090	1256
711	3094	1251
712	3097	1246
713	3098	1241
714	3100	1235
715	3102	1230
716	3104	1225
717	3107	1220
718	3109	1215
719	3111	1210
720	3113	1204
721	3116	1199
722	3132	1200
723	3135	1195
724	3148	1194
725	3150	1189
726	3152	1183
727	3165	1182
728	3167	1177
729	3169	1172
730	3171	1166
731	3172	1161
732	3174	1156
733	3176	1151
734	3179	1146
735	3181	1141
736	3183	1136
737	3185	1130
738	3187	1125
739	3189	1120
740	3192	1115
741	3195	1111
742	3198	1106
743	3199	1101
744	3201	1095
745	3203	1090
746	3205	1085
747	3207	1080
748	3210	1075
749	3212	1070
750	3214	1065
751	3216	1060
752	3218	1055
753	3220	1050
754	3223	1045
755	3225	1041
756	3228	1036
757	3241	1034
758	3243	1029
759	3246	1025
760	3248	1020
761	3250	1015
762	3252	1010
763	3254	1005
764	3257	1000
765	3260	996
766	3262	991
767	3264	986
768	3266	981
769	3268	976
770	3270	971
771	3273	966
772	3274	961
773	3276	956
774	3279	951
775	3281	947
776	3289	944
777	3291	939
778	3293	934
779	3294	929
780	3296	924
781	3298	919
782	3300	914
783	3302	909
784	3304	904
785	3306	900
786	3321	898
787	3323	894
788	3325	889
789	3327	884
790	3328	879
791	3331	874
792	3333	870
793	3336	865
794	3338	860
795	3341	856
796	3343	851
797	3345	846
798	3348	842
799	3350	837
800	3354	833
801	3356	828
802	3367	826
803	3369	821
804	3370	816
805	3372	811
806	3374	807
807	3376	802
808	3378	797
809	3381	793
810	3383	788
811	3386	784
812	3396	781
813	3398	776
814	3412	774
815	3414	769
816	3427	767
817	3442	765
818	3444	761
819	3458	759
820	3459	754
821	3461	749
822	3463	744
823	3473	741
824	3475	737
825	3477	732
826	3479	727
827	3489	724
828	3490	720
829	3492	715
830	3494	710
831	3495	705
832	3498	701
833	3500	696
834	3501	691
835	3503	687
836	3505	682
837	3507	678
838	3509	673
839	3511	668
840	3513	664
841	3515	659
842	3518	655
843	3520	650
844	3522	646
845	3533	643
846	3535	638
847	3536	633
848	3538	629
849	3549	626
850	3551	621
851	3563	619
852	3565	614
853	3567	609
854	3569	605
855	3571	600
856	3573	596
857	3574	591
858	3576	587
859	3578	582
860	3594	580
861	3596	575
862	3598	571
863	3599	566
864	3601	562
865	3603	557
866	3605	553
867	3609	548
868	3611	544
869	3625	541
870	3641	539
871	3643	534
872	3671	534
873	3673	529
874	3675	525
875	3677	520
876	3679	516
877	3682	511
878	3684	507
879	3686	502
880	3688	498
881	3689	493
882	3691	489
883	3693	484
884	3695	480
885	3697	475
886	3699	471
887	3721	469
888	3730	465
889	3737	461
890	3742	457
891	3748	453
892	3752	449
893	3756	445
894	3759	441
895	3764	436
896	3767	432
897	3769	428
898	3781	424
899	3784	420
900	3786	416
901	3787	411
902	3810	409
903	3813	404
904	3825	401
905	3827	397
906	3828	392
907	3850	390
908	3861	386
909	3871	382
910	3880	379
911	3886	375
912	3912	372
913	3927	369
914	3936	365
915	3950	362
916	3953	357
917	3956	353
918	3965	349
919	3967	345
920	3970	340
921	3972	336
922	3974	331
923	3977	327
924	3980	322
925	3982	318
926	3995	314
927	3997	310
928	3999	305
929	4001	301
930	4003	296
931	4004	292
932	4011	288
933	4013	283
934	4015	279
935	4017	274
936	4025	270
937	4027	266
938	4029	261
939	4042	258
940	4044	253
941	4046	249
942	4048	244
943	4050	240
944	4051	235
945	4053	231
946	4055	226
947	4057	222
948	4058	218
949	4060	213
950	4062	209
951	4064	204
952	4065	200
953	4067	196
954	4074	192
955	4076	187
956	4078	183
957	4080	178
958	4082	174
959	4084	170
960	4086	165
961	4088	161
962	4104	157
963	4107	153
964	4109	149
965	4111	144
966	4113	140
967	4114	136
968	4116	131
969	4118	127
970	4120	123
971	4122	118
972	4123	114
973	4125	110
974	4127	105
975	4129	101
976	4130	97
977	4135	93
978	4137	88
979	4140	84
980	4142	80
981	4144	75
982	4145	71
983	4147	67
984	4150	63
985	4152	58
986	4154	54
987	4155	50
988	4166	46
989	4189	42
990	4199	38
991	4217	34
992	4225	29
993	4231	25
994	4242	21
995	4256	17
996	4260	12
997	4264	8
998	4270	4
999	4275	0
